price,airline_type,airline,outbound_dep_time,outbound_arr_time,outbound_dep_code,outbound_arr_code,outbound_info,inbound_dep_time,inbound_arr_time,inbound_dep_code,inbound_arr_code,inbound_info
581300,Same,에어 인디아,18:55,18:30,DXB,SIN,"경유 1, 19시간 35분",10:30,17:55,SIN,DXB,"경유 1, 11시간 25분"
594300,Same,에어 인디아,11:45,18:30,DXB,SIN,"경유 1, 26시간 45분",10:30,17:55,SIN,DXB,"경유 1, 11시간 25분"
646800,Same,걸프에어,21:20,12:30,DXB,SIN,"경유 1, 11시간 10분",20:25,03:25,SIN,DXB,"경유 1, 11시간 00분"
705200,Same,에어 인디아,18:55,18:30,DXB,SIN,"경유 1, 19시간 35분",13:35,22:00,SIN,DXB,"경유 1, 12시간 25분"
759400,Same,에어 인디아,18:55,18:30,DXB,SIN,"경유 1, 19시간 35분",19:40,10:15,SIN,DXB,"경유 1, 18시간 35분"
773500,Same,에어 인디아,11:45,18:30,DXB,SIN,"경유 1, 26시간 45분",19:40,10:15,SIN,DXB,"경유 1, 18시간 35분"
835900,Same,에어 인디아,18:55,18:30,DXB,SIN,"경유 1, 19시간 35분",10:30,10:15,SIN,DXB,"경유 1, 27시간 45분"
898800,Same,에어 인디아,18:55,18:30,DXB,SIN,"경유 1, 19시간 35분",23:00,08:35,SIN,DXB,"경유 1, 13시간 35분"
913800,Same,에어 인디아,11:45,18:30,DXB,SIN,"경유 1, 26시간 45분",23:00,08:35,SIN,DXB,"경유 1, 13시간 35분"
941100,Same,에어 인디아,17:00,23:25,DXB,SIN,"경유 1, 26시간 25분",10:30,17:55,SIN,DXB,"경유 1, 11시간 25분"
941500,Same,에어 인디아,19:15,09:15,DXB,SIN,"경유 1, 10시간 00분",10:30,17:55,SIN,DXB,"경유 1, 11시간 25분"
945300,Same,에어 인디아,13:10,07:00,DXB,SIN,"경유 1, 13시간 50분",10:30,17:55,SIN,DXB,"경유 1, 11시간 25분"
958700,Same,에어 인디아,09:55,18:55,DXB,SIN,"경유 1, 29시간 00분",10:30,17:55,SIN,DXB,"경유 1, 11시간 25분"
962500,Same,에어 인디아,13:10,18:55,DXB,SIN,"경유 1, 25시간 45분",10:30,17:55,SIN,DXB,"경유 1, 11시간 25분"
989900,Same,스리랑카 항공,18:20,08:10,DXB,SIN,"경유 1, 09시간 50분",09:40,16:55,SIN,DXB,"경유 1, 11시간 15분"
1049900,Same,카타르 항공,05:20,21:15,DXB,SIN,"경유 1, 11시간 55분",10:15,20:55,SIN,DXB,"경유 1, 14시간 40분"
1053700,Same,카타르 항공,13:10,14:55,DXB,SIN,"경유 1, 21시간 45분",10:15,20:55,SIN,DXB,"경유 1, 14시간 40분"
1065300,Same,에어 인디아,19:15,09:15,DXB,SIN,"경유 1, 10시간 00분",13:35,22:00,SIN,DXB,"경유 1, 12시간 25분"
1068100,Same,스리랑카 항공,18:20,08:10,DXB,SIN,"경유 1, 09시간 50분",09:40,21:50,SIN,DXB,"경유 1, 16시간 10분"
1069200,Same,에어 인디아,13:10,07:00,DXB,SIN,"경유 1, 13시간 50분",13:35,22:00,SIN,DXB,"경유 1, 12시간 25분"
1084700,Same,에어 인디아,18:55,18:30,DXB,SIN,"경유 1, 19시간 35분",08:20,19:00,SIN,DXB,"경유 1, 14시간 40분"
1100800,Same,에어 인디아,11:45,18:30,DXB,SIN,"경유 1, 26시간 45분",08:20,19:00,SIN,DXB,"경유 1, 14시간 40분"
1102800,Same,에어 인디아,11:45,18:30,DXB,SIN,"경유 1, 26시간 45분",13:35,22:00,SIN,DXB,"경유 1, 12시간 25분"
1119600,Same,에어 인디아,19:15,09:15,DXB,SIN,"경유 1, 10시간 00분",19:40,10:15,SIN,DXB,"경유 1, 18시간 35분"
1123500,Same,에어 인디아,13:10,07:00,DXB,SIN,"경유 1, 13시간 50분",19:40,10:15,SIN,DXB,"경유 1, 18시간 35분"
1129700,Same,스리랑카 항공,18:20,08:10,DXB,SIN,"경유 1, 09시간 50분",19:50,21:50,SIN,DXB,"경유 1, 30시간 00분"
1132000,Same,에어 인디아,17:00,23:25,DXB,SIN,"경유 1, 26시간 25분",19:40,10:15,SIN,DXB,"경유 1, 18시간 35분"
1135900,Same,에어 인디아,09:55,07:00,DXB,SIN,"경유 1, 17시간 05분",19:40,17:55,SIN,DXB,"경유 1, 26시간 15분"
1137900,Same,에어 인디아,19:15,09:15,DXB,SIN,"경유 1, 10시간 00분",19:40,17:55,SIN,DXB,"경유 1, 26시간 15분"
1139800,Same,에어 인디아,13:10,07:00,DXB,SIN,"경유 1, 13시간 50분",19:40,17:55,SIN,DXB,"경유 1, 26시간 15분"
