price,airline_type,airline,outbound_dep_time,outbound_arr_time,outbound_dep_code,outbound_arr_code,outbound_info,inbound_dep_time,inbound_arr_time,inbound_dep_code,inbound_arr_code,inbound_info,outbound_airline,inbound_airline
403136,Same,에어재팬,09:50,12:30,NRT,ICN,"직항, 02시간 40분",13:40,16:10,ICN,NRT,"직항, 02시간 30분",,
429000,Same,진에어,19:00,21:40,NRT,ICN,"직항, 02시간 40분",07:25,09:55,ICN,NRT,"직항, 02시간 30분",,
380200,Same,에어부산,11:10,14:00,NRT,ICN,"직항, 02시간 50분",07:35,10:10,ICN,NRT,"직항, 02시간 35분",,
383100,Same,이스타항공,19:00,21:35,NRT,ICN,"직항, 02시간 35분",07:15,10:10,ICN,NRT,"직항, 02시간 55분",,
383100,Same,이스타항공,11:20,14:15,NRT,ICN,"직항, 02시간 55분",07:15,10:10,ICN,NRT,"직항, 02시간 55분",,
389400,Different,[왕복다름] 이스타항공 / 에어서울,19:00,21:35,NRT,ICN,"직항, 02시간 35분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",이스타항공,에어서울
389400,Different,[왕복다름] 이스타항공 / 에어서울,11:20,14:15,NRT,ICN,"직항, 02시간 55분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",이스타항공,에어서울
391200,Same,에어서울,20:00,22:30,NRT,ICN,"직항, 02시간 30분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",,
391200,Same,에어서울,12:50,15:35,NRT,ICN,"직항, 02시간 45분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",,
391300,Different,[왕복다름] 제주항공 / 이스타항공,19:50,22:50,NRT,ICN,"직항, 03시간 00분",07:15,10:10,ICN,NRT,"직항, 02시간 55분",제주항공,이스타항공
391400,Different,[왕복다름] 티웨이항공 / 이스타항공,11:55,14:55,NRT,ICN,"직항, 03시간 00분",07:15,10:10,ICN,NRT,"직항, 02시간 55분",티웨이항공,이스타항공
391400,Different,[왕복다름] 티웨이항공 / 이스타항공,14:35,17:45,NRT,ICN,"직항, 03시간 10분",07:15,10:10,ICN,NRT,"직항, 02시간 55분",티웨이항공,이스타항공
391760,Different,[왕복다름] 티웨이항공 / 에어서울,11:55,14:55,NRT,ICN,"직항, 03시간 00분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",티웨이항공,에어서울
391760,Different,[왕복다름] 티웨이항공 / 에어서울,14:35,17:45,NRT,ICN,"직항, 03시간 10분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",티웨이항공,에어서울
393000,Different,[왕복다름] 제주항공 / 에어서울,19:50,22:50,NRT,ICN,"직항, 03시간 00분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",제주항공,에어서울
395600,Same,이스타항공,19:00,21:35,NRT,ICN,"직항, 02시간 35분",08:40,10:55,ICN,NRT,"직항, 02시간 15분",,
395600,Same,이스타항공,11:20,14:15,NRT,ICN,"직항, 02시간 55분",08:40,10:55,ICN,NRT,"직항, 02시간 15분",,
398800,Same,티웨이항공,11:55,14:55,NRT,ICN,"직항, 03시간 00분",08:35,10:55,ICN,NRT,"직항, 02시간 20분",,
398800,Same,티웨이항공,11:55,14:55,NRT,ICN,"직항, 03시간 00분",10:20,12:50,ICN,NRT,"직항, 02시간 30분",,
398800,Same,티웨이항공,14:35,17:45,NRT,ICN,"직항, 03시간 10분",10:20,12:50,ICN,NRT,"직항, 02시간 30분",,
399614,Different,[왕복다름] 에어재팬 / 진에어,09:50,12:30,NRT,ICN,"직항, 02시간 40분",08:05,10:35,ICN,NRT,"직항, 02시간 30분",에어재팬,진에어
400800,Same,티웨이항공,14:35,17:45,NRT,ICN,"직항, 03시간 10분",08:35,10:55,ICN,NRT,"직항, 02시간 20분",,
402000,Different,[왕복다름] 에어부산 / 에어서울,11:10,14:00,NRT,ICN,"직항, 02시간 50분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",에어부산,에어서울
402400,Different,[왕복다름] 에어부산 / 이스타항공,11:10,14:00,NRT,ICN,"직항, 02시간 50분",07:15,10:10,ICN,NRT,"직항, 02시간 55분",에어부산,이스타항공
402600,Different,[왕복다름] 집에어 / 이스타항공,08:55,11:35,NRT,ICN,"직항, 02시간 40분",07:15,10:10,ICN,NRT,"직항, 02시간 55분",집에어,이스타항공
403136,Same,에어재팬,09:50,12:30,NRT,ICN,"직항, 02시간 40분",13:40,16:10,ICN,NRT,"직항, 02시간 30분",,
404400,Different,[왕복다름] 에어프레미아 / 에어서울,12:30,15:20,NRT,ICN,"직항, 02시간 50분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",에어프레미아,에어서울
404600,Different,[왕복다름] 제주항공 / 이스타항공,19:50,22:50,NRT,ICN,"직항, 03시간 00분",08:40,10:55,ICN,NRT,"직항, 02시간 15분",제주항공,이스타항공
406200,Different,[왕복다름] 집에어 / 에어서울,08:55,11:35,NRT,ICN,"직항, 02시간 40분",08:10,10:25,ICN,NRT,"직항, 02시간 15분",집에어,에어서울
406800,Different,[왕복다름] 티웨이항공 / 이스타항공,11:55,14:55,NRT,ICN,"직항, 03시간 00분",08:40,10:55,ICN,NRT,"직항, 02시간 15분",티웨이항공,이스타항공
