price,airline_type,outbound_airline,outbound_dep_time,outbound_arr_time,outbound_dep_code,outbound_arr_code,outbound_info,inbound_airline,inbound_dep_time,inbound_arr_time,inbound_dep_code,inbound_arr_code,inbound_info,airline
918600,Different,중국국제항공,15:45,21:55,PEK,SIN,"직항, 06시간 10분",싱가포르 항공,16:55,23:00,SIN,PEK,"직항, 06시간 05분",[왕복다름] 중국국제항공 / 싱가포르 항공
694800,Same,,09:45,16:15,PEK,SIN,"직항, 06시간 30분",,17:15,23:35,SIN,PEK,"직항, 06시간 20분",중국국제항공
639600,Same,,19:35,16:15,PEK,SIN,"경유 1, 20시간 40분",,17:15,11:10,SIN,PEK,"경유 1, 17시간 55분",에어 마카오
644200,Different,중화 항공,20:25,13:05,PEK,SIN,"경유 1, 16시간 40분",중국국제항공,09:30,15:45,SIN,PEK,"직항, 06시간 15분",[왕복다름] 중화 항공 / 중국국제항공
660700,Different,중화 항공,20:25,13:05,PEK,SIN,"경유 1, 16시간 40분",싱가포르 항공,08:45,14:50,SIN,PEK,"직항, 06시간 05분",[왕복다름] 중화 항공 / 싱가포르 항공
671500,Different,중국국제항공,09:45,16:15,PEK,SIN,"직항, 06시간 30분",에어 마카오,17:15,11:10,SIN,PEK,"경유 1, 17시간 55분",[왕복다름] 중국국제항공 / 에어 마카오
676600,Different,중화 항공,20:25,13:05,PEK,SIN,"경유 1, 16시간 40분",사천 항공,01:10,14:10,SIN,PEK,"경유 1, 13시간 00분",[왕복다름] 중화 항공 / 사천 항공
684700,Different,에어 마카오,19:35,16:15,PEK,SIN,"경유 1, 20시간 40분",중국국제항공,09:30,15:45,SIN,PEK,"직항, 06시간 15분",[왕복다름] 에어 마카오 / 중국국제항공
688000,Different,에어 마카오,19:35,16:15,PEK,SIN,"경유 1, 20시간 40분",베트남항공,13:25,14:30,SIN,PEK,"경유 1, 25시간 05분",[왕복다름] 에어 마카오 / 베트남항공
691900,Different,중화 항공,20:25,13:05,PEK,SIN,"경유 1, 16시간 40분",베트남항공,13:25,14:30,SIN,PEK,"경유 1, 25시간 05분",[왕복다름] 중화 항공 / 베트남항공
692800,Different,중화 항공,20:25,13:05,PEK,SIN,"경유 1, 16시간 40분",캐세이퍼시픽항공,07:40,17:20,SIN,PEK,"경유 1, 09시간 40분",[왕복다름] 중화 항공 / 캐세이퍼시픽항공
694400,Same,,20:25,13:05,PEK,SIN,"경유 1, 16시간 40분",,02:00,11:10,SIN,PEK,"경유 1, 09시간 10분",중화 항공
694800,Same,,09:45,16:15,PEK,SIN,"직항, 06시간 30분",,09:30,15:45,SIN,PEK,"직항, 06시간 15분",중국국제항공
694800,Same,,09:45,16:15,PEK,SIN,"직항, 06시간 30분",,17:15,23:35,SIN,PEK,"직항, 06시간 20분",중국국제항공
698900,Different,에어 마카오,19:35,16:15,PEK,SIN,"경유 1, 20시간 40분",심천항공,03:00,13:15,SIN,PEK,"경유 1, 10시간 15분",[왕복다름] 에어 마카오 / 심천항공
699300,Different,중화 항공,20:25,00:40,PEK,SIN,"경유 1, 28시간 15분",캐세이퍼시픽항공,07:40,17:20,SIN,PEK,"경유 1, 09시간 40분",[왕복다름] 중화 항공 / 캐세이퍼시픽항공
702600,Different,심천항공,21:00,02:00,PEK,SIN,"경유 1, 29시간 00분",에어 마카오,17:15,11:10,SIN,PEK,"경유 1, 17시간 55분",[왕복다름] 심천항공 / 에어 마카오
704500,Different,에어 마카오,19:35,16:15,PEK,SIN,"경유 1, 20시간 40분",심천항공,03:00,13:40,SIN,PEK,"경유 1, 10시간 40분",[왕복다름] 에어 마카오 / 심천항공
705200,Different,중화 항공,20:25,00:40,PEK,SIN,"경유 1, 28시간 15분",캐세이퍼시픽항공,10:00,18:15,SIN,PEK,"경유 1, 08시간 15분",[왕복다름] 중화 항공 / 캐세이퍼시픽항공
707000,Different,중화 항공,20:25,13:05,PEK,SIN,"경유 1, 16시간 40분",싱가포르 항공,01:10,07:15,SIN,PEK,"직항, 06시간 05분",[왕복다름] 중화 항공 / 싱가포르 항공
709500,Different,중국국제항공,09:45,16:15,PEK,SIN,"직항, 06시간 30분",심천항공,03:00,13:15,SIN,PEK,"경유 1, 10시간 15분",[왕복다름] 중국국제항공 / 심천항공
711600,Different,에어 마카오,19:35,16:15,PEK,SIN,"경유 1, 20시간 40분",사천 항공,01:10,14:10,SIN,PEK,"경유 1, 13시간 00분",[왕복다름] 에어 마카오 / 사천 항공
723200,Different,심천항공,21:00,02:00,PEK,SIN,"경유 1, 29시간 00분",중국국제항공,09:30,15:45,SIN,PEK,"직항, 06시간 15분",[왕복다름] 심천항공 / 중국국제항공
727200,Different,에어 마카오,19:35,16:15,PEK,SIN,"경유 1, 20시간 40분",심천항공,03:00,15:45,SIN,PEK,"경유 1, 12시간 45분",[왕복다름] 에어 마카오 / 심천항공
729100,Same,,21:00,02:00,PEK,SIN,"경유 1, 29시간 00분",,03:00,13:15,SIN,PEK,"경유 1, 10시간 15분",심천항공
732100,Different,중국국제항공,09:45,16:15,PEK,SIN,"직항, 06시간 30분",심천항공,03:00,13:40,SIN,PEK,"경유 1, 10시간 40분",[왕복다름] 중국국제항공 / 심천항공
733200,Same,,21:00,02:00,PEK,SIN,"경유 1, 29시간 00분",,03:00,13:40,SIN,PEK,"경유 1, 10시간 40분",심천항공
735700,Different,에어 마카오,19:35,16:15,PEK,SIN,"경유 1, 20시간 40분",싱가포르 항공,08:45,14:50,SIN,PEK,"직항, 06시간 05분",[왕복다름] 에어 마카오 / 싱가포르 항공
737100,Different,중화 항공,20:25,13:05,PEK,SIN,"경유 1, 16시간 40분",사천 항공,17:00,14:10,SIN,PEK,"경유 1, 21시간 10분",[왕복다름] 중화 항공 / 사천 항공
737300,Different,중국국제항공,09:45,16:15,PEK,SIN,"직항, 06시간 30분",심천항공,03:00,15:45,SIN,PEK,"경유 1, 12시간 45분",[왕복다름] 중국국제항공 / 심천항공
